n13439570 n13489037
n12962992 n14585519
n6916505 n6904171
n594146 n582388
n7748574 n7705711
n12081649 n12041446
a1793985 a1793985
n11468973 n11480698
n11224654 n11224654
n9443281 n9387222
n12306089 n12303462
n3682877 n3682877
n7504258 n7501545
n2850218 n14806838
n6461609 n6461609
n4147183 n4128837
n9732668 n7942152
n3971218 n4188643
n2575455 n1432517
n13848249 n14429985
n2359915 n2359915
a2319922 a2319922
n5024093 n5009170
v1616608 v1458973
n4172107 n3259505
a1347935 a1347935
n378296 n376063
r119578 r119578
v255079 v443116
v2625187 v2624263
a2153965 a2153965
n11684499 n9257949
n56551 n279835
n10707134 n9628382
n7038910 n7037465
n9516700 n9516700
n14764518 n14764061
n12331066 n12331066
a747727 a747727
n8106798 n7992450
n10384772 n9681351
n13716490 n13577171
a1597240 a1597240
v2664769 v2664769
n2188699 n2188699
n9457851 n9457851
n2174001 n2164464
n3584400 n3278248
n14691085 n14662574
n11322481 n11322481
n10903918 n10903918
n8625297 n8621598
n6750804 n6750804
a1333331 a1333331
n9168915 n9168915
a2995161 a2995161
v2047857 v2047857
n9120939 n9120939
n10370122 n10560637
n14088758 n14081941
n5498460 n5462674
v754942 v754942
a399606 a399606
v1602096 v1602096
n12056601 n12041446
n11033992 n11033992
n5655567 n5652396
n1625747 n7992450
n2477187 n2469914
n10976862 n10976862
n3643253 n3851341
n14857021 n14856263
n9878921 n9609232
n13124019 n17222
n14377177 n14373582
a1768969 a1768969
n4705950 n5062748
n12752039 n11567411
n4862592 n4861486
v2263346 v2228698
v2591312 v2591312
n3163381 n3419014
a351679 a351679
v269682 v269682
n13814898 n13813042
n1263924 n35189
n4270576 n2676261
n6989473 n6904171
a1852812 a1852812
v1288201 v1288052
n1527347 n1525720
n9839343 n9984659
n6725877 n6725877
v1700540 v1698271
n5254197 n5220461
n5978370 n5809192
n14823690 n14792703
a1142804 a1142804
n14509491 n14501726
n6015863 n5796750
n12115563 n11556857
n10687922 n9632518
n9129324 n9129324
n13138658 n13134947
n5293773 n5297523
a2672886 a2672886
n15063358 n14607521
n14206375 n14204950
n521209 n429048
a674476 a674476
n7063921 n7071942
n11743570 n11556857
a733297 a733297
n2791385 n3792048
v1641632 v1641632
v945499 v983824
r144586 r144586
n15220625 n13575869
n13065215 n8108972
v426749 v426749
a3123143 a3123143
a1372948 a1372948
n12693352 n12690653
n1322604 n1321579
n1880813 n1873982
n13800267 n13796779
a1681028 a1681028
n1900150 n1900150
v328370 v140123
r18302 r18302
n3320519 n3113657
n3261603 n3122748
n14245928 n14061805
n9359471 n9394007
n4402746 n4377057
a1729384 a1729384
n2648916 n2642107
n11067396 n11067396
v740290 v672433
n1552333 n1546921
r335544 r335544
n7871940 n7625493
n2404186 n2402425
v1740 v1740
n535873 n534849
v1675073 v1675073
a2128922 a2128922
n319939 n319939
n14270846 n5823932
a483481 a483481
a2731699 a2731699
n790947 n41899
a542660 a542660
n2898173 n3489162
v1240188 v1239862
n824808 n817680
n8336844 n8336844
n4029647 n3178782
n3657825 n3740161
n12188484 n12188484
n2017213 n2016358
a1925708 a1925708
r2142 r2142
n3618219 n2962545
n3800371 n2775483
n12404484 n11567411
n11165712 n11165712
n14436029 n13948136
n12668364 n11567411
n7636020 n7635155
n6568706 n6355894
n13584646 n13583724
n6231494 n5946687
n8361817 n8367880
a772776 a772776
n1591910 n1507175
n1297291 n1297291
v1543731 v1543123
n12477747 n12477747
a458488 a458488
n9193933 n9193933
n11297032 n11297032
n9418331 n9418331
n1165537 n1160342
n2923682 n2759963
n15122231 n15122231
a1886139 a1886139
n11552686 n11552386
n2634285 n2634285
n13079775 n8108972
n12923439 n11567411
a2055460 a2055460
n4461148 n4461148
a503020 a503020
v583523 v109660
n7661002 n7657903
n3138344 n2788689
v2336255 v2327200
n4921417 n4921011
n7846938 n7843775
n1072984 n1072565
n1782516 n1769347
a292937 a292937
n3848348 n3489162
n13545036 n13566212
n12727101 n12727101
n14015731 n14015731
n1816336 n1507175
n1757547 n8108972
v1978576 v1970826
n560866 n558630
n11802410 n11802212
n5136978 n5136150
n10213429 n7846
n9575033 n9575033
n13163991 n13129165
n12017127 n11672400
n4206070 n4285146
n7195765 n8459252
a2779654 a2779654
r433909 r433909
n13971561 n13970236
n7675627 n7555863
n14318819 n5267345
n7577244 n7573696
n6759256 n6756407
n1322685 n1321579
n9609232 n9609232
n12463134 n13112664
n437067 n621627
v813651 v813978
n6941479 n6904171
n7832307 n7809096
n9923101 n10741590
n5366640 n5246511
a2187606 a2187606
n15293590 n15293590
a2535335 a2535335
a253361 a253361
n6520742 n6628861
a1984097 a1984097
v392960 v140967
a1813183 a1813183
n1356086 n8106934
n14980468 n14727670
n13427989 n13566212
a2271437 a2271437
n3912929 n3453809
n1033345 n1029406
n5425436 n5246511
n5582191 n5267345
n13281130 n13275847
n14882000 n14882000
a2647917 a2647917
n4054670 n3489162
v39488 v40353
n7470420 n7456188
a1465468 a1465468
v558536 v149583
n1008378 n1008378
n9502080 n9502080
n10311823 n7846
n6049250 n6043075
n10614976 n10741590
n3427656 n3033362
n569234 n566135
n2370360 n5327767
n8900047 n8900047
v1484982 v452512
n4739262 n4738641
a1249555 a1249555
a2936859 a2936859
n2996570 n3740161
n10830456 n10830456
a576011 a576011
n3985881 n2796623
n10115082 n10115082
n7773572 n7555863
a2080488 a2080488
n13570072 n13440063
n11973749 n11973341
n13486270 n13446390
n12286826 n13104059
n8008335 n8008335
n7905770 n7881800
n9541661 n9540430
v2179518 v2179518
n173172 n44150
v886602 v886759
n3031553 n3740161
n8566554 n8566554
v221607 v220869
n5944958 n5941423
v510576 v508032
a385059 a385059
n344942 n331950
n7602650 n7596684
a2765076 a2765076
n2056873 n1507175
n15268547 n15180528
n9252766 n9252766
n4764242 n4616059
v64487 v78760
n4823031 n4822223
n5523859 n5327767
n2101006 n2087122
n883139 n876737
n305326 n52500
n2502514 n2502514
a2922263 a2922263
n2115641 n2083346
n3295012 n3851341
n858188 n13440063
r360551 r360551
n6108079 n5993844
n10140051 n9939313
n11190774 n11190774
r276391 r276391
n9962789 n10311021
n8948027 n8948027
n1047937 n7359599
n6206470 n6205154
a601499 a601499
n12634986 n12634211
n667612 n1024392
n5161967 n5144079
n4475749 n4474466
n3511426 n8660339
n7215377 n7213395
n8179689 n8179689
n15038892 n14966667
n4436185 n2815950
n12561594 n13139055
n2418770 n2394477
a1950711 a1950711
n8238463 n8238463
v1156406 v2300060
n9923186 n10741590
n11151189 n11151189
n15024240 n14728724
n4509592 n4509592
a649405 a649405
a2863464 a2863464
n14279235 n14278773
v1518772 v1223182
n14402625 n14052403
v1229809 v1227675
n5905348 n5902545
n7097346 n7092158
n12247202 n12246232
v1504130 v1463963
n246552 n199130
v1748462 v1747945
n4534520 n4063868
n6147770 n5999797
n6436939 n6436939
n13932213 n24720
n148242 n145218
n11645163 n13108662
a601150 a601150
n13657691 n13603305
n1900488 n1900488
n9502481 n5625465
n7939382 n7939382
n4607532 n2784218
n5930010 n5926676
v1411870 v1411085
r203783 r203783
n11429458 n11494935
n7504111 n7501545
n7709046 n7705711
n12766595 n13100156
n897608 n897026
a2608380 a2608380
n15229144 n5816622
v2277897 v2321757
n10311661 n10787470
n7543732 n7543732
n2766044 n2766044
a1465061 a1465061
v970732 v976653
n11151084 n11151084
n11900569 n11669921
a458810 a458810
a1117942 a1117942
a2633329 a2633329
n2575766 n1429349
n8591680 n8591680
n5944686 n5944686
a1998730 a1998730
a483816 a483816
n10830731 n10830731
n3427296 n2796623
v2072501 v1992503
v499642 v296178
n8650507 n8649345
n1948446 n1940736
n13971802 n13969243
n6666829 n6652242
v656576 v657260
n7470285 n7456188
n11008870 n11008870
a1793812 a1793812
n7254594 n7254267
n13413159 n13413159
n8880859 n8880859
n13618076 n13600822
a385338 a385338
n13222477 n7992450
n13065514 n12992868
n6916409 n6904171
n7445265 n7311115
v412048 v126264
v1616738 v1508368
a2824040 a2824040
a938305 a938305
n14837900 n14607521
n14534571 n14530061
n3452267 n3699975
n13427789 n13558490
n8322187 n8307589
v2757304 v146138
n11684739 n9257949
n2864504 n3057021
n13741512 n13728499
v1352996 v1352996
n5689249 n5686481
n10095869 n10099375
a1235178 a1235178
n12791539 n11567411
n4837814 n4835724
n6172789 n6172789
n11454470 n11512818
n9311710 n9311710
v451648 v449692
n7700638 n7555863
n13682631 n13682631
n3971321 n3699975
n10129338 n10129825
n9286200 n9416076
n6882561 n5765159
a1695363 a1695363
a2897040 a2897040
n4270276 n4105893
n9746936 n9738400
n2609617 n2607862
n8409835 n8284481
n5268619 n5267345
n2418934 n8108972
n3222318 n3222318
a1490061 a1490061
a1959111 a1959111
n7964324 n7951464
n1033714 n1029406
n4862888 n4861486
n8928933 n8928933
n5229049 n5267345
n13486115 n13489037
n10081204 n10470779
n13907272 n13860793
v1577093 v1577093
n11802076 n11567411
n10589566 n9632518
n2839592 n4105893
a2187296 a2187296
a351991 a351991
a2731850 a2731850
a1367008 a1367008
n9345127 n9345127
n1889520 n1889074
n14147380 n14145095
n8987262 n8987262
n7459868 n7458453
n11527967 n11419404
n2620033 n1429349
v1195675 v1156834
n437487 n36762
n1322508 n1321579
n12056758 n12041446
a121649 a121649
n6422364 n6417598
v2527085 v2526085
n1165112 n1165112
n14823376 n14786479
n12825497 n13100677
n13848349 n14429985
n14088412 n14081941
v2723951 v1628449
v740449 v740449
v1602191 v1602191
a2148011 a2148011
n10771809 n10741590
n114871 n45250
n1611252 n1507175
v2552052 v2547586
n13354260 n13354420
n4343740 n2913152
a1827766 a1827766
n6627260 n6349220
n3657511 n3419014
n3320845 n3354903
n8841209 n8841209
n14040490 n14035298
n12693033 n11567411
n4980008 n4980008
n824614 n817680
n8420278 n8054721
n765791 n732746
n10707233 n9617867
r467016 r467016
n5498581 n5297523
n10502329 n9505153
r237152 r237152
n5812813 n5810948
n8650593 n8649345
n11033870 n11033870
v2375902 v2375131
n3814906 n3597469
n7675535 n14864360
n1131794 n817680
n1841569 n1507175
n5714745 n5714466
a2041229 a2041229
n5871140 n5870916
a1019450 a1019450
v2047500 v2066939
n9673495 n9641757
v2409838 v2409412
n2864593 n3988170
n1238607 n1237415
n10345015 n10345015
r276729 r276729
n14231207 n14061805
n10359659 n10351874
n6015978 n6000644
n3006626 n3945615
n1454393 n1432517
n9996039 n9619824
a2100031 a2100031
a688740 a688740
v2179372 v2176268
n10805783 n9505418
n1179707 n1179707
n6338485 n6284225
n1224031 n1220984
n15161872 n13575869
n11816649 n11815491
n667384 n1024392
n751145 n751145
n5254077 n5303402
n5327134 n5267345
n5195175 n5190804
n13452750 n13452750
a444220 a444220
n10384610 n10480253
n9129442 n9129442
a419289 a419289
n7734017 n7705711
n6989325 n6904171
n13124358 n4475
n11718296 n11718296
n3163488 n3161450
n5680839 n5678932
v1700655 v1698271
n2536165 n1428580
n15220743 n13575869
v1641751 v1641751
r43608 r43608
n10418577 n10418101
n11757851 n11756092
n14206224 n14204950
n4186455 n3045337
n8816236 n8816236
n3887899 n4069276
v1978947 v1979901
a2995482 a2995482
n10732212 n10372373
n1527480 n7992450
n3559144 n3931044
n100253 n521562
a399923 a399923
n6711030 n6709533
n810026 n809465
a3078753 a3078753
r178213 r178213
n2561108 n2554730
n9384771 n9384771
n14509583 n14501726
n15063493 n15010703
a3123013 a3123013
n3946325 n3946325
n692349 n692130
r301840 r301840
n4318787 n4515129
n6652242 n6652242
n790817 n41899
v1543626 v1543123
n6980971 n6904171
a2319538 a2319538
n2923331 n3892891
n11782878 n12205694
a3005728 a3005728
n14921777 n14792703
n4509417 n4576211
n1743086 n1661091
n9370168 n9370168
n1782675 n7992450
v1097500 v1097500
n3598646 n4267577
n12477401 n13121104
n8468261 n8464601
a806512 a806512
a2344512 a2344512
n3329180 n14778436
n3368750 n3740161
n5352112 n5246511
n9864252 n9977178
n14764820 n14764061
n5885822 n5872982
n1802033 n1507175
a517314 a517314
n2937958 n4105438
a963283 a963283
n1718096 n1661091
n12898342 n12205694
n14739861 n14607521
n4994614 n4992163
a2271177 a2271177
v813978 v813978
n14475661 n13920429
n8072536 n8054721
r349855 r349855
n9443641 n13899200
r119940 r119940
n6495220 n6495000
a1720930 a1720930
n6520429 n6628861
v1254477 v1254477
n956485 n952963
n7181453 n7180787
r374804 r374804
n7411851 n7296428
a1176246 a1176246
n2056728 n2021795
n1067070 n1066163
a2016295 a2016295
n95971 n93483
n8493261 n8493261
n5655966 n5652396
n9418629 n9418629
a1852666 a1852666
n3511175 n3327234
n7832416 n7809096
v2336375 v2327200
n2502807 n2502514
n535557 n534849
n7577144 n7573696
n3090000 n4379243
n1757677 n1757677
v294245 v294245
v2361329 v2327200
n4284869 n3964744
n4969703 n4959672
n10193967 n10235549
r130322 r130322
n9227839 n9416076
n14318927 n14204950
n8782319 n8544813
n1395531 n7992450
n10443482 n10256756
v1470225 v1470225
n7807472 n7557434
v392860 v1246601
a1813081 a1813081
a2114613 a2114613
n11743294 n11743294
v2434737 v2434976
n5557339 n5297523
a2779774 a2779774
n6941341 n6904171
n13163649 n13129165
n14245758 n14061805
n462383 n455599
v2625521 v144850
a253469 a253469
n14691445 n14727670
a2549857 a2549857
n11513357 n11419404
n13789462 n13783581
n8361720 n8367880
n726100 n726100
n8889191 n8889191
a20787 a20787
n8008017 n8008017
n4730985 n5093890
a29108 a29108
v1807529 v1807529
a1479715 a1479715
n5293597 n5297523
n7484929 n7484265
a2246182 a2246182
v1484884 v1345109
n3065063 n8056231
n1106808 n1106808
n6088995 n6000400
n5748054 n5748054
n173283 n44150
v886978 v886978
n4377057 n4377057
v1689752 v1690294
n799236 n795720
n1468913 n5297523
n9589996 n9589996
n2286654 n2283201
n9962612 n10480253
v1122736 v1090335
n10839131 n10839131
v2698443 v2604760
a1950857 a1950857
n7058064 n7020895
v1459896 v1462005
n9923003 n9623038
n11948469 n11948469
a3030753 a3030753
n3789400 n3926148
v847365 v933821
n10213180 n9610660
n6798750 n6798750
n6568422 n6355894
n8263303 n8256968
a1563578 a1563578
n14402763 n14052403
r77042 r77042
a2285739 a2285739
a938210 a938210
n6955931 n6904171
n2213967 n1762525
n2247076 n1762525
n4921754 n4921011
n4040373 n4040373
n15136923 n15157041
n4436012 n4379243
a2476485 a2476485
r408632 r408632
a2403505 a2403505
n4088343 n3489162
n1263582 n35189
n2443808 n2075296
n5077863 n5074774
n10227793 n9870208
n6916313 n6904171
n5425581 n5246511
n3295357 n3740161
a1661914 a1661914
n4211970 n4019101
a977839 a977839
n330674 n279835
a2790134 a2790134
n9213254 n9213254
n7386370 n7371293
n7024705 n7020895
n2042180 n2021795
n11126081 n11126081
v162549 v381013
n8238313 n7965085
n14172383 n14171682
n560529 n558630
n5063218 n5062748
a2765190 a2765190
n12575812 n11747468
a68738 a68738
n11322627 n11322627
n1429349 n1429349
v1773535 v1773535
n13320860 n13318147
a615757 a615757
n12536291 n13112664
n7156497 n7155081
n11552976 n17222
n11611758 n11608250
n5905027 n5902545
n15254028 n15248564
v1748578 v1747945
n858060 n844254
n12620031 n11567411
n6857591 n7028373
n14896321 n14894140
n3466947 n2734423
n12404729 n13109733
n9575316 n10471250
n5122295 n5107765
n271636 n271263
n15038789 n14696793
n81395 n6479665
n4475631 n3093574
n1973375 n8106934
n2345471 n8108972
n3393761 n3736970
n5773049 n5772356
n13618180 n13600822
a1333609 a1333609
n1190172 n1181475
v1386433 v356258
a228485 a228485
a54109 a54109
n9937688 n9620078
a2574890 a2574890
n3682487 n3682487
n5391763 n5392744
a1249843 a1249843
n14994726 n15010703
n15195259 n15184170
n11889619 n11669921
a542359 a542359
n11092292 n11092292
n6206576 n6205154
n13643109 n13602526
r105341 r105341
a1622302 a1622302
a879468 a879468
r433637 r433637
a169692 a169692
v39385 v40353
n14725217 n14662574
v235918 v235368
n15268682 n15180528
v1518659 v1517662
r262090 r262090
r360218 r360218
n3079616 n4564698
n6074372 n6115476
n1816635 n8106934
n187890 n186634
v1445235 v1441510
a1538583 a1538583
n15024124 n14989820
r203667 r203667
v1156115 v1156115
n3006788 n3953416
n2791124 n3001627
n2766168 n4143897
n7484792 n7484265
n12825301 n11567411
n11645041 n8108972
v906037 v772189
n7748753 n7705711
n12864902 n12864902
n5930136 n5930136
n11684654 n9257949
a1729157 a1729157
v499512 v146138
n12370842 n7992450
n3716327 n3414162
n378479 n376063
a649228 a649228
v715541 v700708
n2370525 n1886756
v945648 v983824
a2824194 a2824194
n4607640 n4015204
n14279099 n14279099
n7313518 n7355887
n12609842 n11556857
a155144 a155144
n7773700 n13135832
n1263711 n35189
r433791 r433791
a2633447 a2633447
n2081571 n2062017
r18577 r18577
n1900341 n5470189
v1871979 v1871979
n6147873 n5999797
n13511507 n5888929
n9081213 n9081213
n6377971 n6364329
v269423 v269423
n12140759 n12102133
v2008066 v2020590
r43521 r43521
n12561309 n11747468
v2493260 v2486932
n13907104 n13860793
n10286282 n9623038
n3491988 n4341686
n10095769 n10112591
n897506 n897026
n1454260 n1429349
n12115748 n12115748
a1911296 a1911296
n13741603 n13728499
n5905152 n5902545
n12306270 n12303462
n8625462 n8621598
n2825004 n14727670
n1493829 n1491874
n13946760 n13945919
a2187379 a2187379
n22903 n22903
a214001 a214001
a2501820 a2501820
n3971422 n3533972
a228645 a228645
n6627357 n6349220
n14534696 n14534696
n7240077 n7238694
a1998835 a1998835
n6133203 n6125041
v2047650 v2066939
a806387 a806387
n5700087 n5669934
v2468261 v2467662
n9732441 n9686536
n4113765 n4341686
v2566528 v2566528
n12331263 n12331263
v642098 v637259
n4862747 n4862005
n13413016 n13331198
n8880713 n8880713
n13716686 n13608788
a1260023 a1260023
n9286318 n9286318
n5268510 n5267345
n11454591 n11417672
n1914961 n8108972
n4837931 n4835724
v1229631 v1229071
v1411768 v1411085
n12345899 n13109733
v886759 v886759
n10771990 n7846
n11224419 n11224419
n6461830 n6392001
n7518663 n7480068
n8855763 n8855763
n5411049 n5397468
v426581 v426581
a2731953 a2731953
n4534359 n3708036
n14172217 n14171682
n10516874 n10516874
n12286988 n13104059
n13682740 n13682631
n3031756 n3294048
n7700766 n7555863
n15268857 n15180528
n8914413 n8914413
n5689109 n5686481
n1987938 n1759182
n2404432 n2402425
n8409969 n8284481
n13197085 n8108972
n13427633 n13541167
n9359631 n9190918
n7459992 n7458453
a1235071 a1235071
n12850336 n12850336
n11190592 n11190592
n11552806 n17222
n4402580 n3269401
n13559509 n13523208
n14377375 n14373582
n4029913 n3733925
r467147 r467147
n1165224 n1160342
n9345002 n14939445
n5366812 n5246511
n2140491 n1886756
n8131530 n8122141
n3814817 n4143897
n14750122 n5397468
n5978159 n5941423
v740577 v740577
r130129 r130129
n3848168 n3489162
n4270371 n3278248
n56311 n279835
n10732314 n10086074
a3137558 a3137558
n7734183 n7705711
n4318892 n3574816
v931085 v930599
n9600624 n9600624
n13848466 n14429985
n3320735 n3076708
n5871245 n5870916
n6290051 n6286395
a674270 a674270
a2863724 a2863724
n8757264 n8757264
n9443453 n9287968
v1930874 v1930874
n10589666 n9878275
n5812921 n5810948
n6691989 n6686736
a845928 a845928
n2634545 n2634545
n10056103 n9767197
n1841441 n1838038
n12379278 n11567411
n4304215 n3125870
a419175 a419175
n12081851 n11556857
n476952 n104539
n13741698 n13728499
a3078832 a3078832
n10286200 n9633969
a399840 a399840
v2664992 v2664992
n4475496 n2815950
n13452614 n13566212
v1181166 v2327200
n7675411 n14864360
n10502204 n9610660
n10746931 n9820263
n5582305 n5263850
a2330064 a2330064
a1768724 a1768724
a2055773 a2055773
a2995373 a2995373
a2765308 a2765308
n11395609 n11395609
n14921974 n15010703
a688855 a688855
a2041134 a2041134
a1019587 a1019587
a1044557 a1044557
n437321 n621627
n9056278 n9056278
n9370006 n9308398
n3887797 n4571088
v2409941 v2409412
a1959294 a1959294
a2779960 a2779960
r178116 r178116
v1978850 v1979901
n1650901 n1650167
n10673451 n10673451
n12839979 n12205694
n7709172 n7705711
n9830759 n9824361
r2436 r2436
n11356018 n9678009
n15220864 n13575869
n9418484 n9418484
n6711159 n6711159
n9541919 n9545324
